seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr23	12895393	12895692	300	*	1	1	0	Distal Intergenic	23	12767914	12768771	858	2	ENSDARG00000100758	-126622	NA	NA	NA	126622
chr4	51589175	51589474	300	*	1	1	0	Distal Intergenic	4	51608724	51608843	120	2	ENSDARG00000100298	19369	NA	NA	NA	19369
chr4	56419910	56420209	300	*	1	1	0	Intron (ENSDART00000168408/ENSDARG00000098707, intron 9 of 9)	4	56379570	56382494	2925	2	ENSDARG00000102931	-37416	NA	NA	NA	37416
chr5	14850453	14850752	300	*	1	1	0	Promoter (<=1kb)	5	14850737	14857602	6866	1	ENSDARG00000042069	0	406627	pebp1	phosphatidylethanolamine binding protein 1	0
chr18	31594708	31595007	300	*	1	1	0	Distal Intergenic	18	31631617	31867798	236182	1	ENSDARG00000101059	-36610	569072	dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	36610
chr8	39133725	39134024	300	*	1	1	0	Distal Intergenic	8	38617043	39150320	533278	2	ENSDARG00000060518	16296	559556	pcsk5b	proprotein convertase subtilisin/kexin type 5b	16296
chr3	8682614	8682981	368	*	1.98757	1.98757	0	Intron (ENSDART00000113140/ENSDARG00000074310, intron 1 of 15)	3	8625303	8631508	6206	2	ENSDARG00000039935	-51106	NA	NA	NA	51106
chr22	34544697	34545060	364	*	1.98865	1.98865	0	Intron (ENSDART00000044429/ENSDARG00000031269, intron 15 of 23)	22	34372939	34594185	221247	2	ENSDARG00000031269	49125	101884269	rnf123	ring finger protein 123	49125
chr15	38233061	38233400	340	*	1.99556	1.99556	0	Distal Intergenic	15	38199550	38228260	28711	2	ENSDARG00000039096	-4801	556718	si:dkey-24p1.1	si:dkey-24p1.1	4801
chr2	14338530	14338869	340	*	1.99556	1.99556	0	Distal Intergenic	2	14340742	14342332	1591	2	ENSDARG00000098037	3463	100331996	LOC100331996	uncharacterized LOC100331996	3463
chr7	71115656	71115993	338	*	1.9962	1.9962	0	Intron (ENSDART00000112841/ENSDARG00000078829, intron 11 of 11)	7	71096760	71105633	8874	1	ENSDARG00000070168	18896	504078	sod3a	superoxide dismutase 3, extracellular a	18896
chr12	20383992	20384321	330	*	1.9975	1.9975	1	Promoter (<=1kb)	12	20384323	20386485	2163	1	ENSDARG00000089747	-2	NA	NA	NA	2
chr4	40755675	40756002	328	*	1.99797	1.99797	1	Intron (ENSDART00000176816/ENSDARG00000106936, intron 1 of 1)	4	40769482	40771283	1802	1	ENSDARG00000096481	-13480	NA	NA	NA	13480
chr16	15796424	15796745	322	*	1.99866	1.99866	1	Distal Intergenic	16	15818084	15819024	941	2	ENSDARG00000102085	22279	NA	NA	NA	22279
chr10	12159786	12160093	308	*	1.99986	1.99986	1	Distal Intergenic	10	12269266	12271014	1749	2	ENSDARG00000101140	110921	NA	NA	NA	110921
chr10	12137600	12137907	308	*	1.99986	1.99986	1	Distal Intergenic	10	12269266	12271014	1749	2	ENSDARG00000101140	133107	NA	NA	NA	133107
chr22	21202888	21203195	308	*	1.99986	1.99986	1	Distal Intergenic	22	21221781	21279269	57489	1	ENSDARG00000056530	-18586	100151400	cpamd8	C3 and PZP like alpha-2-macroglobulin domain containing 8	18586
chr16	15776110	15776413	304	*	1.99996	1.99996	1	Distal Intergenic	16	15818084	15819024	941	2	ENSDARG00000102085	42611	NA	NA	NA	42611
chr12	14352535	14352836	302	*	1.99999	1.99999	1	Distal Intergenic	12	14517722	14665228	147507	1	ENSDARG00000079128	-164886	393846	becn1	beclin 1, autophagy related	164886
chr13	15368086	15368387	302	*	1.99999	1.99999	1	Distal Intergenic	13	15325684	15326632	949	2	ENSDARG00000108507	-41454	NA	NA	NA	41454
chr14	51860262	51860563	302	*	1.99999	1.99999	1	3' UTR	14	51855440	51923377	67938	1	ENSDARG00000101794	4822	450017	atp6v0e1	ATPase H+ transporting V0 subunit e1	4822
chr13	25183025	25183324	300	*	2	2	1	Distal Intergenic	13	25166807	25174729	7923	2	ENSDARG00000075265	-8296	100008445	plaua	plasminogen activator, urokinase a	8296
chr20	21963043	21963458	416	*	2.96537	2.96537	1	Exon (ENSDART00000152290/ENSDARG00000009689, exon 14 of 26)	20	21738724	21906497	167774	2	ENSDARG00000030107	-56546	559363	syne2a	spectrin repeat containing, nuclear envelope 2a	56546
chr24	12231780	12232191	412	*	2.97463	2.97463	1	Distal Intergenic	24	12151592	12152391	800	1	ENSDARG00000108811	80188	NA	NA	NA	80188
chr24	12264118	12264501	384	*	2.9839	2.9839	1	Distal Intergenic	24	12151592	12152391	800	1	ENSDARG00000108811	112526	NA	NA	NA	112526
chr4	28752377	28752754	378	*	2.98734	2.98734	2	Promoter (<=1kb)	4	28752467	28752547	81	1	ENSDARG00000086081	0	NA	NA	NA	0
chr12	14290512	14290885	374	*	2.9884	2.9884	2	Distal Intergenic	12	14127733	14172990	45258	2	ENSDARG00000055538	-117522	751682	avl9	AVL9 homolog (S. cerevisiase)	117522
chr4	52985241	52985608	368	*	2.98978	2.98978	2	Intron (ENSDART00000160946/ENSDARG00000103213, intron 2 of 2)	4	52963960	52992446	28487	1	ENSDARG00000103213	21281	NA	NA	NA	21281
