I	49	1089	5.91442	5.91442
I	12908	13476	8.74798	8.74798
I	14817	15337	4.9056	4.9056
I	30185	30485	1	1
I	33577	34107	5.84538	5.85484
I	34705	35861	12.552	12.552
I	37894	38458	3.81926	3.81926
I	39724	40090	1.9883	1.9883
I	41833	42445	7.7633	7.84448
I	42807	43313	7.80621	7.89522
I	45039	45339	1	1
I	56102	57668	6.31626	6.40386
I	61766	62162	2.97941	2.97941
I	66828	67326	4.87607	5.00327
I	67624	68032	3.95789	4.16083
I	69721	70449	6.37028	6.37028
I	85802	86724	8.94021	8.94021
I	93448	93996	7.68659	7.68659
I	96369	96869	5.87457	5.87457
I	98737	99037	1	1
I	108188	109754	12.088	12.294
I	110489	110973	2.92836	2.93282
I	111685	113195	4.87963	4.94795
I	116310	117782	15.144	15.144
I	119435	121737	7.23784	7.24165
I	122189	122827	6.75544	6.75547
I	124637	125089	8.87896	8.87896
I	128037	128853	12.0854	12.1394
I	130144	131272	23.6791	23.7064
I	137359	138411	13.6329	13.6329
I	141888	142988	8.23453	8.23453
I	149284	149972	4.51862	4.51866
I	150854	151598	7.19026	7.19028
I	153333	153739	2.97684	2.97684
I	155940	156332	3.97738	3.97738
I	159183	161046	7.41216	7.57901
I	161439	161949	3.93901	4.08984
I	167841	168493	11.6167	11.6167
I	169661	169961	1	1.00001
I	171467	173905	8.49183	8.49949
I	178184	178742	6.80374	6.80374
I	180016	180598	6.86898	6.86898
I	228345	229371	9.34021	9.55749
I	229482	230900	15.3004	15.3824
I	230922	232254	12.3887	12.4416
I	238125	238425	2	2
I	240110	240658	3.84118	3.84118
I	247775	248943	4.70315	4.70315
I	257403	258607	6.31512	6.31512
I	260037	260551	10.7591	10.7591
I	270126	270590	6.8919	6.8919
I	274408	274708	1	1
I	276339	277873	10.8667	10.9531
I	279541	280135	7.58459	7.58459
I	284978	285426	6.88948	6.88948
I	290323	290681	4.99359	4.99359
I	293045	293501	3.93177	3.93177
I	295820	296660	13.1678	13.169
I	297261	297811	7.72553	7.7299
I	299624	300272	7.544	7.544
I	308034	308556	3.86888	3.86888
I	310560	311606	8.41666	8.42083
I	311937	312341	2.97698	3.10982
I	314041	314723	8.68346	8.74851
I	314965	315423	3.93081	4.18725
I	318716	319120	2.97755	2.97755
I	321041	322121	7.45923	7.45923
I	332600	332940	1.99578	1.99578
I	341089	341801	8.49832	8.49832
I	360596	361070	1.91857	1.91857
I	366863	367387	0.932684	1.08683
I	367615	367971	1.99557	2.03215
I	368724	369254	4.90152	4.90236
I	378407	383051	12.7529	13.0202
I	384660	385162	3.91064	3.91064
I	392197	393371	9.58106	9.58106
I	395109	395955	9.86896	9.86896
I	397567	398371	13.5421	13.5421
I	421244	421824	4.7677	4.7677
I	424467	424957	6.81427	6.81427
I	428593	429017	1.95774	1.95774
I	430983	431449	4.93705	4.93707
I	432005	434001	14.8018	14.9148
I	437510	438008	3.89823	3.89824
I	439155	439735	8.54372	8.55119
I	439925	442061	20.2577	20.8182
I	442948	443454	3.92996	4.02995
I	445442	445980	8.80874	8.80874
I	447990	450223	8.86316	9.16901
I	452262	453130	10.6973	10.7394
I	453401	454037	8.45976	8.55845
I	454704	455096	5.9767	5.98598
I	457607	458093	4.93614	4.93614
I	461671	461971	1	1
I	463888	464462	6.72848	6.72848
I	470753	471415	6.6613	6.6613
I	475224	475764	4.80779	4.82833
I	476253	476705	3.94529	4.00305
I	476865	478255	8.29522	8.30261
I	478711	479135	5.97191	6.03369
I	484167	485333	6.4618	6.4618
I	486276	486810	7.72193	7.72193
I	490628	492146	5.29246	5.29253
I	492534	493442	11.1517	11.157
I	494883	495973	12.1547	12.1547
I	501133	501571	2.95658	2.95658
I	513051	513711	6.57777	6.88496
I	518247	518975	7.82223	7.82223
I	521231	521883	12.1146	12.1146
I	524100	525158	12.6195	12.6376
I	525394	525968	7.85393	7.91262
I	527454	528524	4.78585	4.78585
I	530316	530818	7.83793	7.83793
I	532142	533358	4.97668	4.97668
I	536068	537564	6.80772	6.9893
I	542150	542562	2.97099	2.97099
I	545250	545766	4.82301	4.82301
I	547029	547399	2.98962	2.98962
I	549117	549515	2.98588	3.02662
I	553677	554079	1.97186	1.97193
I	554834	556302	10.1229	10.2895
I	556889	557433	2.84455	2.89981
I	562393	563849	7.38813	7.65743
I	564671	565281	6.79022	6.79022
I	565992	567282	7.97773	7.97773
I	570785	571219	3.94908	3.94908
